Designator,Value,Package,X(mm),Y(mm),Rotation,Side
U1,,QFN-8,184.4900,77.9450,1800.00,top
U2,,QFN-8,38.9670,145.6340,0.00,top
U3,,QFN-8,63.7240,4.2930,2700.00,top
U4,,QFN-8,106.8010,143.0420,900.00,top
U5,,QFN-8,125.6550,62.0140,0.00,top
U6,,QFN-8,186.1980,22.1350,0.00,top
U7,,QFN-8,126.2420,110.1500,0.00,top
U8,,QFN-8,195.8950,140.0080,1800.00,top
U9,,QFN-8,70.2660,91.4650,0.00,top
U10,,QFN-8,69.2150,3.9940,900.00,top
U11,,QFN-8,196.4850,82.7370,1800.00,top
U12,,QFN-8,68.2880,54.0450,900.00,top
U13,,QFN-8,196.2610,3.4240,2700.00,top
U14,,QFN-8,180.6980,142.4520,0.00,top
U15,,QFN-8,185.2730,7.8870,900.00,top
U16,,QFN-8,120.9310,5.6070,0.00,top
U17,,QFN-8,149.0230,4.0790,2700.00,top
U18,,QFN-8,7.8490,7.1050,900.00,top
U19,,QFN-8,4.6450,142.3990,900.00,top
U20,,QFN-8,125.7090,81.4340,1800.00,top
U21,,QFN-8,104.2540,3.3940,900.00,top
U22,,QFN-8,53.3770,105.3690,0.00,top
U23,,QFN-8,64.2570,60.8990,900.00,top
U24,,QFN-8,47.7900,143.6550,900.00,top
U25,,QFN-8,3.3520,83.5240,2700.00,top
U26,,QFN-8,6.9940,59.1680,900.00,top
U27,,QFN-8,184.6970,129.2600,2700.00,top
U28,,QFN-8,120.5090,144.8440,900.00,top
U29,,QFN-8,140.0650,144.6660,0.00,top
U30,,QFN-8,20.5990,6.0650,2700.00,top
U31,,QFN-8,133.2480,55.0140,2700.00,top
U32,,QFN-8,3.8480,117.5870,900.00,top
U33,,QFN-8,196.2960,67.7380,1800.00,top
U34,,QFN-8,6.4070,45.2740,1800.00,top
L1,1µH,IND-12x12,154.5500,46.5990,0.00,top
L2,1µH,IND-12x12,52.1360,12.2880,900.00,top
L3,1µH,IND-12x12,148.5950,93.5480,1800.00,top
L4,1µH,IND-12x12,94.3600,21.7280,900.00,top
L5,1µH,IND-12x12,87.8080,140.3110,900.00,top
L6,1µH,IND-12x12,122.9610,47.8980,0.00,top
L7,1µH,IND-12x12,48.6790,124.8350,900.00,top
L8,1µH,IND-12x12,24.8810,32.7770,2700.00,top
L9,1µH,IND-12x12,15.2300,119.3350,900.00,top
L10,1µH,IND-12x12,86.5280,117.7020,900.00,top
L11,1µH,IND-12x12,29.6150,6.1500,1800.00,top
L12,1µH,IND-12x12,175.8100,65.2370,900.00,top
L13,1µH,IND-12x12,18.4040,64.6730,900.00,top
L14,1µH,IND-12x12,80.7080,70.7400,1800.00,top
L15,1µH,IND-12x12,39.0330,40.7190,2700.00,top
L16,1µH,IND-12x12,36.2550,76.2210,900.00,top
L17,1µH,IND-12x12,152.0990,114.8930,2700.00,top
L18,1µH,IND-12x12,71.6180,112.7380,900.00,top
L19,1µH,IND-12x12,82.8300,91.0720,1800.00,top
L20,1µH,IND-12x12,168.3970,93.1250,2700.00,top
L21,1µH,IND-12x12,28.3040,127.8920,900.00,top
L22,1µH,IND-12x12,165.9960,113.9390,900.00,top
L23,1µH,IND-12x12,53.0750,74.5990,2700.00,top
L24,1µH,IND-12x12,18.7990,19.5350,900.00,top
L25,1µH,IND-12x12,54.5590,59.1000,0.00,top
L26,1µH,IND-12x12,45.3470,25.2580,2700.00,top
L27,1µH,IND-12x12,22.1420,83.4700,2700.00,top
L28,1µH,IND-12x12,95.6910,81.1640,1800.00,top
L29,1µH,IND-12x12,71.3210,19.7610,0.00,top
L30,1µH,IND-12x12,160.8310,20.7100,900.00,top
L31,1µH,IND-12x12,65.3710,142.6690,0.00,top
L32,1µH,IND-12x12,58.4550,36.5600,2700.00,top
L33,1µH,IND-12x12,134.2270,98.3680,900.00,top
L34,1µH,IND-12x12,177.0620,23.0800,1800.00,top
C1,10µF,0805,104.7340,22.2100,1800.00,top
C2,10µF,0805,137.6200,122.6620,1800.00,top
C3,10µF,0805,82.1940,102.6310,900.00,top
C4,10µF,0805,38.4060,129.4380,900.00,top
C5,10µF,0805,76.1230,41.2200,0.00,top
C6,10µF,0805,112.5810,71.4550,2700.00,top
C7,10µF,0805,178.0750,104.2970,1800.00,top
C8,10µF,0805,82.9590,59.3140,1800.00,top
C9,10µF,0805,129.2320,117.9970,1800.00,top
C10,10µF,0805,191.3440,15.5090,0.00,top
C11,10µF,0805,76.8460,10.0760,1800.00,top
C12,10µF,0805,189.3120,8.3190,0.00,top
C13,10µF,0805,79.8230,47.7700,1800.00,top
C14,10µF,0805,124.2970,74.8730,0.00,top
C15,10µF,0805,113.7990,30.0560,1800.00,top
C16,10µF,0805,118.0680,101.9950,1800.00,top
C17,10µF,0805,98.4050,90.3950,1800.00,top
C18,10µF,0805,183.7910,93.6550,0.00,top
C19,10µF,0805,146.5280,143.3980,0.00,top
C20,10µF,0805,197.7160,37.7950,1800.00,top
C21,10µF,0805,153.1000,61.0270,0.00,top
C22,10µF,0805,146.3630,129.9820,0.00,top
C23,10µF,0805,105.0790,44.7810,2700.00,top
C24,10µF,0805,119.7320,35.7540,0.00,top
C25,10µF,0805,34.4160,140.4490,2700.00,top
C26,10µF,0805,122.2750,34.7840,1800.00,top
C27,10µF,0805,39.3940,96.3440,900.00,top
C28,10µF,0805,3.0880,103.2680,0.00,top
C29,10µF,0805,130.4330,32.0020,900.00,top
C30,10µF,0805,194.1260,107.3550,0.00,top
C31,10µF,0805,34.5670,91.4760,2700.00,top
C32,10µF,0805,184.2870,58.0630,0.00,top
C33,10µF,0805,100.8070,100.8620,0.00,top
C34,10µF,0805,26.8920,103.4290,0.00,top
