"Report Written:","Tuesday, February 05, 2019"
"Design Path:","C:\Users\lance\Dropbox\Volt\Quad Board\QuadPowerDist04Dec2018.pcb"
"Design Title:",
"Created:","11/25/2013 4:20:32 PM"
"Last Saved:","2/5/2019 11:04:38 AM"
"Editing Time:","36352 min"
"Units:","mil (precision 1)"

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"PL1","1","1WP","","DSC","","","","","Single Pin Header"
"PL2","1","1WP","","DSC","","","","","Single Pin Header"
"PL3","1","1WP","","DSC","","","","","Single Pin Header"
"PL4","1","1WP","","DSC","","","","","Single Pin Header"
"PL5","1","1WP","","DSC","","","","","Single Pin Header"
"PL6","1","1WP","","DSC","","","","","Single Pin Header"
"PL7","1","1WP","","DSC","","","","","Single Pin Header"
"PL8","1","1WP","","DSC","","","","","Single Pin Header"
"PL9","1","1WP","","DSC","","","","","Single Pin Header"
"PL10","1","3WP","","DSC","","","","","3 way Pin Header"
"PL11","1","3WP","","DSC","","","","","3 way Pin Header"
"PL12","1","3WP","","DSC","","","","","3 way Pin Header"
"PL13","1","3WP","","DSC","","","","","3 way Pin Header"
"PL14","1","3WP","","DSC","","","","","3 way Pin Header"
"J6","1","8CH5P5V12A_48_12_GND","","J","","","","","Connector for horizontal board"
"J8","1","8CH5P5V12A_48_12_GND","","J","","","","","Connector for horizontal board"
"J5","1","8CH5P5V12A_48_12_GND","","J","","","","","Connector for horizontal board"
"J1","1","8CH5P5V12A_48_12_GND","","J","","","","","Connector for horizontal board"
"C1","1","1206YG225ZATEA","47uf 16V","SM1206","","","","","Capacitor, Surface Mount Multi-Layer Ceramic"
"C3","1","1206YG225ZATEA","47uf 16V","SM1206","","","","","Capacitor, Surface Mount Multi-Layer Ceramic"
"VR2","1","BCM48B","","SM","","","","",""
"VR3","1","BCM48B","","SM","","","","",""
"C11","1","Cap7343D4","470uf 16V","SM","","","","","D 7343 470uf"
"C12","1","Cap7343D4","470uf 16V","SM","","","","","D 7343 470uf"
"C13","1","Cap7343D4","470uf 16V","SM","","","","","D 7343 470uf"
"C14","1","Cap7343D4","470uf 16V","SM","","","","","D 7343 470uf"
"C15","1","Cap7343D4","470uf 16V","SM","","","","","D 7343 470uf"
"C16","1","Cap7343D4","470uf 16V","SM","","","","","D 7343 470uf"
"C17","1","Cap7343D4","470uf 16V","SM","","","","","D 7343 470uf"
"C18","1","Cap7343D4","470uf 16V","SM","","","","","D 7343 470uf"
"C2","1","CP6","1000uf 63V","DSCV","","","","","Electrolytic Capacitor"
"C4","1","CP6","1000uf 63V","DSCV","","","","","Electrolytic Capacitor"
"SW1","1","GT11MCBE","","DIL","","","","",""
"L1","1","L-2520","","SM","","","","",""
"LED1","1","LED (5mm)","","LED_RED","","","","",""
"LED2","1","LED (5mm)","","LED_RED","","","","",""
"LED3","1","LED (5mm)","","LED_RED","","","","",""
"J9","1","PowerConnector","","DIL","","","","",""
"R1","1","R0603","","SM","","","","",""
"R2","1","R0603","","SM","","","","",""
"R3","1","R0603","","SM","","","","",""
